"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1656","@R0GUE_LeaderX @Swallsjr1978 @SharronWhelan @FoxNews @TheView @JoyVBehar @realDonaldTrump Haha you think CNN, MSNBC… https://t.co/nfTE3AvMjf",FALSE,0,"R0GUE_LeaderX",2018-01-30 23:56:41,TRUE,"958457359055118336","958489174587400192","594808486","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronrecchia",0,FALSE,FALSE,NA,NA
"1657","@realDonaldTrump  https://t.co/1zmwh6FQBy",FALSE,0,"realDonaldTrump",2018-01-30 23:56:41,FALSE,"957603800579297280","958489174281281537","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8TravelFan8",0,FALSE,FALSE,NA,NA
"1658","@RealSheriffJoe @realDonaldTrump That he’s resigning and you’re six feet under.",FALSE,0,"RealSheriffJoe",2018-01-30 23:56:41,FALSE,"958414072227291136","958489173203222528","44951059","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Julio515029",0,FALSE,FALSE,NA,NA
"1659","@DickDurbin Your optimism is honorable, @DickDurbin.  There could be 100k Dreamers at the State of the Union &amp;… https://t.co/k7z9DlJnxD",FALSE,2,"DickDurbin",2018-01-30 23:56:41,TRUE,"958486748278947840","958489173010370560","308794407","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","craftbeertacos",1,FALSE,FALSE,NA,NA
"1660","RT @nateterani: If @realDonaldTrump you try to further undermine our democracy by firing Robert Mueller, then  American Veterans will lead…",FALSE,0,NA,2018-01-30 23:56:41,FALSE,NA,"958489172255244288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AerogelMaker",11802,TRUE,FALSE,NA,NA
"1661","@JamesPindell If a Member of Congress shows up for vulgar racist xenophobe sexual predator #DonTheCon… https://t.co/D0v6frd0Vz",FALSE,0,"JamesPindell",2018-01-30 23:56:41,TRUE,"958488611455930368","958489172087582721","243639047","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DanDassow",0,FALSE,FALSE,NA,NA
"1662","RT @Harlan: There are 5, yes *FIVE* Democratic Responses to President @realDonaldTrump’s #SOTU...

The Democratic Party is so splintered.…",FALSE,0,NA,2018-01-30 23:56:41,FALSE,NA,"958489171961831424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","US_Conservatism",1857,TRUE,FALSE,NA,NA
"1663","@realDonaldTrump I love what your doing in America and the fact that your draining the swamp. I’m sure it’s way wor… https://t.co/rfFBuCmGDM",FALSE,1,"realDonaldTrump",2018-01-30 23:56:40,TRUE,NA,"958489171399725057","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisCain1973",0,FALSE,FALSE,NA,NA
"1664","RT @flmolly: No @realDonaldTrump tweets this morning? They must be making him sleep in because he's staying up way past his bedtime tonight.",FALSE,0,NA,2018-01-30 23:56:40,FALSE,NA,"958489171391336448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tpaln",28,TRUE,FALSE,NA,NA
"1665","@davidmweissman @realDonaldTrump @DonaldJTrumpJr @benshapiro @KurtSchlichter @conservmillen @JacobAWohl… https://t.co/LogxNFSZDa",FALSE,0,"davidmweissman",2018-01-30 23:56:40,TRUE,"958484130227945472","958489171122839558","880018682","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amgarci9",0,FALSE,FALSE,NA,NA
